upi_id,label,category
"merchant.zomato@icici",0,legitimate_merchant
"swiggy@hdfcbank",0,legitimate_merchant
"uber@axisbank",0,legitimate_merchant
"bookmyshow@ybl",0,legitimate_merchant
"amazon@apl",0,legitimate_merchant
"flipkart@axisbank",0,legitimate_merchant
"nandareddy@okicici",0,personal_vpa
"rahul.sharma@paytm",0,personal_vpa
"support.airtel@axisbank",0,legitimate_merchant
"tatasky@sbi",0,legitimate_merchant
"ola.cabs@icici",0,legitimate_merchant
"bigbasket@ybl",0,legitimate_merchant
"myntra@icici",0,legitimate_merchant
"make_my_trip@sbi",0,legitimate_merchant
"dunzo@ybl",0,legitimate_merchant
"paytm-refund-desk@okaxis",1,impersonation_scam
"sbi-customer-care-helpdesk@okicici",1,impersonation_scam
"9876543210.lottery@ybl",1,lottery_vpa
"cashback-claim-desk@ybl",1,cashback_vpa
"kyc-update-verify@okaxis",1,kyc_vpa
"hdfc-bank-support-team@okicici",1,impersonation_scam
"electricity-bill-refund@ybl",1,utility_vpa
"gpay-reward-manager@okaxis",1,reward_vpa
"cbi-digital-arrest-office@ybl",1,extortion_vpa
"phonepe-cashback-desk@okicici",1,cashback_vpa
"parttime-job-salary@ybl",1,job_vpa
"winner-kbc-prize@okaxis",1,lottery_vpa
"axis-bank-refund-dept@okaxis",1,impersonation_scam
"icici-customer-service-vpa@okicici",1,impersonation_scam
"lottery-winner-reward@ybl",1,lottery_vpa
