url,label,category
"https://cybercrime.gov.in",0,official_portal
"https://www.sbi.co.in",0,official_bank
"https://onlinesbi.sbi",0,official_bank
"https://www.hdfcbank.com",0,official_bank
"https://www.icicibank.com",0,official_bank
"https://paytm.com",0,official_payment
"https://www.phonepe.com",0,official_payment
"https://www.axisbank.com",0,official_bank
"https://npci.org.in",0,official_gov
"https://rbi.org.in",0,official_gov
"https://www.google.com",0,official_portal
"https://github.com",0,official_portal
"https://www.microsoft.com",0,official_portal
"https://www.apple.com",0,official_portal
"https://www.amazon.in",0,official_portal
"http://sbi-reward-points.top/claim",1,phishing_tld
"https://electricity-bill-update-desk.site",1,typosquatting
"https://bit.ly/sbi-kyc-update-now",1,url_shortener
"http://hdfc-netbanking-verify.xyz/login",1,phishing_tld
"http://paytm-cashback-reward.buzz/claim",1,phishing_tld
"https://yono-sbi-login-portal.work",1,typosquatting
"http://airtel-sim-kyc-update.online",1,typosquatting
"https://cutt.ly/gpay-reward-claim",1,url_shortener
"http://icici-security-alert.top/verify",1,phishing_tld
"https://kbc-lottery-winner.free/prize",1,phishing_tld
"http://digital-arrest-cbi-warrant.buzz",1,phishing_tld
"https://is.gd/upi-pin-collect-claim",1,url_shortener
"http://axis-bank-verify-card.top",1,phishing_tld
"http://phonepe-reward-scratch.buzz",1,phishing_tld
"http://gpay-cashback-offer.site",1,phishing_tld
